Abalone,IGR1
Lobster,IGR611
Loganberry,IGR612
Loin,IGR613
Longan,IGR614
Loquat,IGR615
Lotus,IGR616
Lovage,IGR617
Lumpsucker,IGR618
Lupine,IGR619
Lychee,IGR620
Macadamia nut,IGR621
Macaroni,IGR622
Mace,IGR623
Madeira wine,IGR624
Maitake,IGR625
Malabar plum,IGR626
Malabar spinach,IGR627
Malay Apple,IGR628
Malt,IGR629
Malt Whisky,IGR630
Mammee apple,IGR631
Mandarin Orange,IGR632
Mandarin Orange Peel Oil,IGR633
Mangetout,IGR634
Mango,IGR635
Maple Syrup,IGR636
Margarine,IGR637
Marinara,IGR638
Marjoram,IGR639
Marshmallow,IGR640
Marzano,IGR641
Marzipan,IGR642
Mascarpone,IGR643
Mastic Gum,IGR644
Mate,IGR645
Mayonnaise,IGR646
Meat,IGR647
Meat bouillon,IGR648
Meatball,IGR649
Meatloaf,IGR650
Medlar,IGR651
Melon,IGR652
Mentha Oil,IGR653
Meringue,IGR654
Mexican groundcherry,IGR655
Mexican oregano,IGR656
Milk,IGR657
Milk Fat,IGR658
Milk Human,IGR659
Milk Powder,IGR660
Milkfish,IGR661
Milkshake,IGR662
Millet,IGR663
Mince,IGR664
Mint,IGR665
Mirin,IGR666
Miso,IGR667
Miso soup,IGR668
Mixed nuts,IGR669
Molasses,IGR670
Mollusc,IGR671
Monkfish,IGR672
Monosodium Glutamate,IGR673
Monterey jack,IGR674
Moose,IGR675
Morchella,IGR676
Moth bean,IGR677
Mountain hare,IGR678
Mountain Papaya,IGR679
Mountain yam,IGR680
Mozzarella,IGR681
Mozzarella Cheese,IGR682
Mulberry,IGR683
Mule deer,IGR684
Multigrain bread,IGR685
Mung bean,IGR686
Munster Cheese,IGR687
Muscadine grape,IGR688
Mushroom,IGR689
Musk Melon,IGR690
Muskmallow,IGR691
Muskrat,IGR692
Mustard,IGR693
Mustard Oil,IGR694
Mutton,IGR695
Myrrh,IGR696
Myrtle,IGR697
Nachos,IGR698
Nance,IGR699
Nanking cherry,IGR700
Naranjilla,IGR701
Narrowleaf cattail,IGR702
Natal plum,IGR703
Natto,IGR704
Natural yogurt,IGR705
Neroli Oil,IGR706
New potato,IGR707
New Zealand spinach,IGR708
Nigella Seed,IGR709
Nopal,IGR710
North Pacific giant octopus,IGR711
Northern bluefin tuna,IGR712
Northern pike,IGR713
Norway haddock,IGR714
Norway pout,IGR715
Nougat,IGR716
Nutella,IGR717
Nutmeg,IGR718
Nuttall cockle,IGR719
Oat,IGR720
Oat bread,IGR721
Oats,IGR722
Ocean pout,IGR723
Ohelo berry,IGR724
Oil,IGR725
Oil palm,IGR726
Oil-seed Camellia,IGR727
Okra,IGR728
Olive,IGR729
Olive oil,IGR730
Onion,IGR731
Onion ring,IGR732
Opossum,IGR733
Orange,IGR734
Orange essence,IGR735
Orange juice,IGR736
Orange Oil,IGR737
Orange roughy,IGR738
Oregano,IGR739
Oregon yampah,IGR740
Oriental wheat,IGR741
Orris,IGR742
Ostrich,IGR743
Ostrich fern,IGR744
Oyster,IGR745
Oyster mushroom,IGR746
Pacific herring,IGR747
Pacific jack mackerel,IGR748
Pacific ocean perch,IGR749
Pacific rockfish,IGR750
Pacific sardine,IGR751
Painted comber,IGR752
Pak choi,IGR753
Pak choy,IGR754
Pan dulce,IGR755
Pancake,IGR756
Pancetta,IGR757
Paneer,IGR758
Panko,IGR759
Papaya,IGR760
Papaya Brandy,IGR761
Paprika,IGR762
Parmesan Cheese,IGR763
Parsley,IGR764
Parsnip,IGR765
Passion fruit,IGR766
Passionfruit,IGR767
Pasta,IGR768
Pasta shell,IGR769
Pastry,IGR770
Pate,IGR771
Pawpaw,IGR772
Pea,IGR773
Peach,IGR774
Peaches,IGR775
Peanut,IGR776
Peanut Butter,IGR777
Peanut Oil,IGR778
Pear,IGR779
Pear Brandy,IGR780
Peas,IGR781
Pecans,IGR782
Pecorino,IGR783
Pectin,IGR784
Penne,IGR785
Penne pasta,IGR786
Pepino,IGR787
Pepper,IGR788
Peppercorn,IGR789
Peppermint,IGR790
Peppers,IGR791
Perciformes,IGR792
Percoidei,IGR793
Persimmon,IGR794
Pesto,IGR795
Pheasant,IGR796
Phyllo dough,IGR797
Pickle,IGR798
Pickled gherkin,IGR799
Pickled onion,IGR800
Pickled red onion,IGR801
Pie,IGR802
Pie crust,IGR803
Pigeon Pea,IGR804
Pikeperch,IGR805
Piki bread,IGR806
Pili nut,IGR807
Pimento pepper,IGR808
Pine,IGR809
Pine nut,IGR810
Pineapple,IGR811
Pineappple sage,IGR812
Pink salmon,IGR813
Pistachio,IGR814
Pistachios,IGR815
Pita,IGR816
Pita bread,IGR817
Pitanga,IGR818
Pitta,IGR819
Pitted olive,IGR820
Pizza,IGR821
Plantain,IGR822
Pleuronectidae,IGR823
Plum,IGR824
Plum Brandy,IGR825
Plum tomato,IGR826
Plum tomatoes,IGR827
Plum Wine,IGR828
Plumcot,IGR829
Poblano,IGR830
Pod,IGR831
Polar bear,IGR832
Polenta,IGR833
Pollock,IGR834
Pomegranate,IGR835
Popcorn,IGR836
Poppy Seed,IGR837
Pork,IGR838
Pork chop,IGR839
Pork Loin,IGR840
Porridge,IGR841
Port Wine,IGR842
Pot pie,IGR843
Potato,IGR844
Potato bread,IGR845
Potato chip,IGR846
Potato gratin,IGR847
Potato puffs,IGR848
Potatoes,IGR849
Prairie turnip,IGR850
Prawn,IGR851
Prickly Pear,IGR852
Prosciutto,IGR853
Prosciutto ham,IGR854
Provolone,IGR855
Provolone Cheese,IGR856
Pudding,IGR857
Pummelo,IGR858
Pumpkin,IGR859
Pumpkinseed sunfish,IGR860
Pupusa,IGR861
Purple laver,IGR862
Purple mangosteen,IGR863
Purple Potato,IGR864
Purslane,IGR865
Quail,IGR866
Quesadilla,IGR867
Quince,IGR868
Quinoa,IGR869
Rabbit,IGR870
Raccoon,IGR871
Radicchio,IGR872
Radish,IGR873
Radishes,IGR874
Rainbow smelt,IGR875
Rainbow trout,IGR876
Raisin,IGR877
Raisin bread,IGR878
Raisins,IGR879
Rambutan,IGR880
Rapeseed oil,IGR881
Rapini,IGR882
Raspberries,IGR883
Raspberry,IGR884
Raspberry Brandy,IGR885
Ravioli,IGR886
Red algae,IGR887
Red Cabbage,IGR888
Red Currant,IGR889
Red king crab,IGR890
Red Onion,IGR891
Red pepper,IGR892
Red raspberry,IGR893
Red rice,IGR894
Red Sage,IGR895
Red Wine,IGR896
Red wine vinegar,IGR897
Redskin onion,IGR898
Relish,IGR899
Remoulade,IGR900
Rhubarb,IGR901
Rib,IGR902
Rice,IGR903
Rice bread,IGR904
Rice cake,IGR905
Rice Noodles,IGR906
Rice Vinegar,IGR907
Ricotta,IGR908
Ricotta Cheese,IGR909
Ringed seal,IGR910
Rock ptarmigan,IGR911
Rocket,IGR912
Rocket salad,IGR913
Roe,IGR914
Roibos Tea,IGR915
Roll,IGR916
Romaine Lettuce,IGR917
Romano Cheese,IGR918
Roquefort Cheese,IGR919
Rose,IGR920
Rose hip,IGR921
Rose Wine,IGR922
Roseapple,IGR923
Roselle,IGR924
Rosemary,IGR925
Rowal,IGR926
Rowanberry,IGR927
Rum,IGR928
Russet,IGR929
Russet Potato,IGR930
Russian Cheese,IGR931
Rutabaga,IGR932
Rye,IGR933
Rye Bread,IGR934
Sablefish,IGR935
Safflower,IGR936
Saffron,IGR937
Sage,IGR938
Sago palm,IGR939
Sake,IGR940
Salad,IGR941
Salad dressing,IGR942
Salami,IGR943
Salmon,IGR944
Salmon flake,IGR945
Salmonberry,IGR946
Salmonidae,IGR947
Salsa,IGR948
Salt,IGR949
Sandalwood,IGR950
Sapodilla,IGR951
Saskatoon berry,IGR952
Sassafras,IGR953
Satsuma Orange,IGR954
Sauce,IGR955
Sauerkraut,IGR956
Sausage,IGR957
Savoy cabbage,IGR958
Scallop,IGR959
Scarlet bean,IGR960
Schnapps,IGR961
Scombridae,IGR962
Scotch,IGR963
Scotch Spearmint,IGR964
Scrapple,IGR965
Scup,IGR966
Sea Buckthorns,IGR967
Sea cucumber,IGR968
Sea trout,IGR969
Self raising flour,IGR970
Semolina,IGR971
Serrano ham,IGR972
Sesame,IGR973
Sesame Oil,IGR974
Sesbania flower,IGR975
Shallot,IGR976
Shallots,IGR977
Shaohsing,IGR978
Shark,IGR979
Shea tree,IGR980
Sheefish,IGR981
Sheep Cheese,IGR982
Sheep Milk,IGR983
Sheepshead,IGR984
Shellfish,IGR985
Sherry,IGR986
Shiitake,IGR987
Shiitake mushroom,IGR988
Shortcrust pastry,IGR989
Shortening,IGR990
Shrimp,IGR991
Silver linden,IGR992
Single cream,IGR993
Sirloin,IGR994
Sirloin steak,IGR995
Skimmed Milk,IGR996
Skunk currant,IGR997
Slaw,IGR998
Small leaf linden,IGR999
Smelt,IGR1000
Smoked Fish,IGR1001
Smoky bacon,IGR1002
Snack bar,IGR1003
Snail,IGR1004
Snapper,IGR1005
Soba Noodles,IGR1006
Sockeye salmon,IGR1007
Soft drink,IGR1008
Sorghum,IGR1009
Sorrel,IGR1010
Soup,IGR1011
Sour Cherry,IGR1012
Sour Cream,IGR1013
Sourdock,IGR1014
Sourdough,IGR1015
Soursop,IGR1016
Soy cream,IGR1017
Soy milk,IGR1018
Soy Sauce,IGR1019
Soy yogurt,IGR1020
Soybean,IGR1021
Soybean Oil,IGR1022
Soybean Sauce,IGR1023
Spaghetti,IGR1024
Spaghetti Squash,IGR1025
Spanish mackerel,IGR1026
Spanish Sage,IGR1027
Sparkleberry,IGR1028
Sparkling Wine,IGR1029
Spearmint,IGR1030
Spelt,IGR1031
Spice,IGR1032
Spinach,IGR1033
Spineless Monkey Orange,IGR1034
Spiny dogfish,IGR1035
Spiny lobster,IGR1036
Spirit,IGR1037
Spirulina,IGR1038
Sponge,IGR1039
Spot croaker,IGR1040
Spotted seal,IGR1041
Spread,IGR1042
Spring onion,IGR1043
Sprout,IGR1044
Squab,IGR1045
Squash,IGR1046
Squashberry,IGR1047
Squid,IGR1048
Squirrel,IGR1049
Sriracha,IGR1050
Star Anise,IGR1051
Starfruit,IGR1052
Steak,IGR1053
Steller sea lion,IGR1054
Stew,IGR1055
Stock,IGR1056
Storax,IGR1057
Stout,IGR1058
Strawberries,IGR1059
Strawberry,IGR1060
Strawberry Jam,IGR1061
Strawberry Wine,IGR1062
Striped bass,IGR1063
Striped mullet,IGR1064
Stuffing,IGR1065
Sturgeon,IGR1066
Succotash,IGR1067
Sugar,IGR1068
Sugar snap pea,IGR1069
Sukiyaki,IGR1070
Sultana,IGR1071
Summer savory,IGR1072
Sun-Dried Tomatoes,IGR1073
Sunflower,IGR1074
Sunflower oil,IGR1075
Swamp cabbage,IGR1076
Sweet Cherry,IGR1077
Sweet custard,IGR1078
Sweet Grass,IGR1079
Sweet pepper,IGR1080
Sweet Potato,IGR1081
Sweetcorn,IGR1082
Sweets,IGR1083
Swiss Cheese,IGR1084
Swordfish,IGR1085
Syrup,IGR1086
Taco,IGR1087
Tamale,IGR1088
Tamarind,IGR1089
Tangerine,IGR1090
Tapioca,IGR1091
Tapioca pearl,IGR1092
Taro,IGR1093
Tarragon,IGR1094
Tartar,IGR1095
Tartary buckwheat,IGR1096
Tea,IGR1097
Tea leaf willow,IGR1098
Teff,IGR1099
Tequila,IGR1100
Thistle,IGR1101
Thyme,IGR1102
Tilefish,IGR1103
Tilsit Cheese,IGR1104
Tinda,IGR1105
Toast,IGR1106
Tobacco,IGR1107
Toffee,IGR1108
Tofu,IGR1109
Tomato,IGR1110
Tomato Juice,IGR1111
Tomato Paste,IGR1112
Tomato puree,IGR1113
Tomatoes,IGR1114
Topping,IGR1115
Tortilla,IGR1116
Tortilla chip,IGR1117
Tostada,IGR1118
Towel gourd,IGR1119
Trail mix,IGR1120
Trassi,IGR1121
Treacle,IGR1122
Tree fern,IGR1123
Triticale,IGR1124
True frog,IGR1125
True seal,IGR1126
True sole,IGR1127
Truffle,IGR1128
Tuna,IGR1129
Tuna steak,IGR1130
Turbot,IGR1131
Turkey,IGR1132
Turkey Berry,IGR1133
Turkey breast,IGR1134
Turkey thigh,IGR1135
Turmeric,IGR1136
Turnip,IGR1137
Ucuhuba,IGR1138
Udon Noodles,IGR1139
Unsweetened Chocolate,IGR1140
Valerian,IGR1141
Vanilla,IGR1142
Vanilla essence,IGR1143
Vanilla Extract,IGR1144
Vanilla pod,IGR1145
Veal,IGR1146
Vegetable juice,IGR1147
Vegetable oil,IGR1148
Vermicelli,IGR1149
Vermouth,IGR1150
Vinaigrette,IGR1151
Vinegar,IGR1152
Vodka,IGR1153
Waffle,IGR1154
Wakame,IGR1155
Walleye,IGR1156
Walnut,IGR1157
Walrus,IGR1158
Wasabi,IGR1159
Water,IGR1160
Water Chestnut,IGR1161
Water Chestnuts,IGR1162
Watercress,IGR1163
Watermelon,IGR1164
Wattle,IGR1165
Weinbrand Brandy,IGR1166
Welsh onion,IGR1167
Wheat,IGR1168
Wheaten Bread,IGR1169
Whelk,IGR1170
Whey,IGR1171
Whisky,IGR1172
White Bread,IGR1173
White Currant,IGR1174
White lupine,IGR1175
White Pepper,IGR1176
White rice,IGR1177
White sucker,IGR1178
White Wine,IGR1179
White Wine Vinegar,IGR1180
Whitefish,IGR1181
Whiting,IGR1182
Whole Chicken,IGR1183
Whole Turkey,IGR1184
Wholegrain pasta,IGR1185
Wholewheat Bread,IGR1186
Wild boar,IGR1187
Wild duck,IGR1188
Wild Rice,IGR1189
Wine,IGR1190
Winged bean,IGR1191
Winter savory,IGR1192
Winter squash,IGR1193
Wonton wrapper,IGR1194
Woodapple,IGR1195
Worcestershire sauce,IGR1196
Wort,IGR1197
Yam,IGR1198
Yardlong bean,IGR1199
Yarrow,IGR1200
Yautia,IGR1201
Yeast,IGR1202
Yellow Onion,IGR1203
Yellow Passionfruit,IGR1204
Yellow pepper,IGR1205
Yellow pond lily,IGR1206
Yellowfin tuna,IGR1207
Yellowtail amberjack,IGR1208
Ylang-Ylang,IGR1209
Ymer,IGR1210
Yogurt,IGR1211
Yukon Gold Potato,IGR1212
Zucchini,IGR1213
Zucchini Noodles,IGR1214
Zwieback,IGR1215